fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1957-10-01,Octubre,1,3.5,3.8,1957,1973
1957-10-02,Octubre,2,1.1,2.8,1957,1952
1996-10-03,Octubre,3,3,3.2,1996,1978
2008-10-04,Octubre,4,1.6,1.7,2008,1999
1961-10-05,Octubre,5,0.9,2,1961,1978
1974-10-06,Octubre,6,0.4,1.4,1974,2003
1956-10-07,Octubre,7,1.4,2.8,1956,1984
1993-10-08,Octubre,8,0,0.8,1993,1956
1990-10-09,Octubre,9,0.9,3,1990,1974
1989-10-10,Octubre,10,1.3,2.4,1989,2002
1989-10-11,Octubre,11,2.2,3.2,1989,1976
1974-10-12,Octubre,12,0.4,0.4,1974,1975
1975-10-13,Octubre,13,-0.6,-0.2,1975,1974
1974-10-14,Octubre,14,-2,2.7,1974,2015
1974-10-15,Octubre,15,0.6,1.6,1974,1997
2009-10-16,Octubre,16,-2,-0.3,2009,2020
1960-10-17,Octubre,17,1.2,2.2,1960,1980
2010-10-18,Octubre,18,-1.8,1.2,2010,1980
1980-10-19,Octubre,19,-1,-0.7,1980,2010
1978-10-20,Octubre,20,0,0,1978,1991
1991-10-21,Octubre,21,-2.6,0.4,1991,1978
1991-10-22,Octubre,22,-3.2,-1.2,1991,1981
1970-10-23,Octubre,23,-3.4,-1.5,1970,1991
1970-10-24,Octubre,24,-2.4,-0.8,1970,1974
1974-10-25,Octubre,25,-0.6,-0.4,1974,1993
2010-10-26,Octubre,26,-1.8,-0.4,2010,1964
1956-10-27,Octubre,27,0.2,0.7,1956,2012
2012-10-28,Octubre,28,-1.8,-1,2012,1964
2018-10-29,Octubre,29,-1.1,-0.8,2018,2012
1974-10-30,Octubre,30,-1,-0.6,1974,1983
1974-10-31,Octubre,31,-3.4,-3,1974,1983
