fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1963-02-01,Febrero,1,-8,-7,1963,1999
1954-02-02,Febrero,2,-10.5,-7,1954,1963
1954-02-03,Febrero,3,-11.3,-11.3,1954,1956
1956-02-04,Febrero,4,-10.7,-9.8,1956,1954
1956-02-05,Febrero,5,-9,-6.8,1956,1963
1954-02-06,Febrero,6,-7.8,-6,1954,1956
1953-02-07,Febrero,7,-5.3,-5.2,1953,1954
1967-02-08,Febrero,8,-11.2,-5.7,1967,2012
2012-02-09,Febrero,9,-7.1,-6.5,2012,1956
1986-02-10,Febrero,10,-7.2,-6.6,1986,1956
1956-02-11,Febrero,11,-12.6,-6.6,1956,1986
1956-02-12,Febrero,12,-13.2,-7.6,1956,1983
1956-02-13,Febrero,13,-9.3,-8,1956,1983
1983-02-14,Febrero,14,-7,-6.8,1983,1953
1991-02-15,Febrero,15,-6,-5,1991,1953
1956-02-16,Febrero,16,-9.1,-5.2,1956,2003
2003-02-17,Febrero,17,-6,-5.6,2003,1956
1956-02-18,Febrero,18,-7.8,-6.5,1956,1953
1965-02-19,Febrero,19,-8,-5,1965,1956
1956-02-20,Febrero,20,-7.3,-6,1956,1965
1965-02-21,Febrero,21,-6.2,-5.6,1965,2005
1956-02-22,Febrero,22,-6.6,-5.7,1956,2005
2005-02-23,Febrero,23,-7.8,-4.2,2005,1956
1993-02-24,Febrero,24,-4.2,-3.5,1993,2018
1993-02-25,Febrero,25,-8,-3.8,1993,2005
1993-02-26,Febrero,26,-4.8,-3.6,1993,2001
2018-02-27,Febrero,27,-5.3,-4.2,2018,1956
2005-02-28,Febrero,28,-6.2,-5,2005,1988
1956-02-29,Febrero,29,-2.8,-2.4,1956,1988
