fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1954-02-01,Febrero,1,-2.8,-0.8,1954,1999
1954-02-02,Febrero,2,-3.2,-0.8,1954,1956
1956-02-03,Febrero,3,-3.8,-3,1956,1954
1956-02-04,Febrero,4,-4.1,-1,1956,1954
1954-02-05,Febrero,5,-1.6,-1.5,1954,1963
1956-02-06,Febrero,6,-1.5,-0.8,1956,1954
1986-02-07,Febrero,7,0.4,0.8,1986,1954
1983-02-08,Febrero,8,0.6,1.6,1983,1960
1983-02-09,Febrero,9,0,0,1983,1986
1956-02-10,Febrero,10,-3.4,-2,1956,1983
1956-02-11,Febrero,11,-7.3,-2.2,1956,1983
1956-02-12,Febrero,12,-5.1,-1.6,1956,1986
1956-02-13,Febrero,13,-3.5,0,1956,1978
1983-02-14,Febrero,14,-1.6,0,1983,1978
1953-02-15,Febrero,15,0,0.6,1953,1991
1953-02-16,Febrero,16,0.4,1,1953,1976
1956-02-17,Febrero,17,0.9,1.2,1956,1979
2003-02-18,Febrero,18,-0.3,-0.1,2003,1956
1987-02-19,Febrero,19,-0.4,-0.3,1987,1965
1965-02-20,Febrero,20,-1.2,0,1965,1981
1981-02-21,Febrero,21,-1.2,-0.1,1981,1965
2005-02-22,Febrero,22,-0.2,0,2005,1987
1987-02-23,Febrero,23,0,1.6,1987,1981
1982-02-24,Febrero,24,1.8,2.4,1982,1987
1981-02-25,Febrero,25,-0.4,0.4,1981,1993
1993-02-26,Febrero,26,0.6,1.6,1993,2001
1988-02-27,Febrero,27,1.6,2,1988,2004
1988-02-28,Febrero,28,1.2,2,1988,1979
1988-02-29,Febrero,29,0.6,2.6,1988,1956
